Tag,Latitude,Longitude,Date,Spp,Site,Study,Taxa,Stage,FieldYearEnd,Vmax
52541,-62.471,-60.79,4/4/2005 20:50,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.46,-60.797,4/4/2005 21:02,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.462,-60.797,4/4/2005 22:31,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.461,-60.798,4/5/2005 0:13,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.463,-60.79,4/5/2005 0:24,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.46,-60.796,4/5/2005 1:05,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.438,-60.82,4/5/2005 20:26,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.459,-60.804,4/5/2005 20:51,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.462,-60.787,4/5/2005 20:53,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.461,-60.793,4/5/2005 22:08,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.463,-60.793,4/5/2005 23:48,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.462,-60.793,4/5/2005 23:49,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.462,-60.797,4/6/2005 0:11,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.457,-60.79,4/6/2005 1:30,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.462,-60.811,4/6/2005 20:29,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.461,-60.793,4/6/2005 20:40,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.461,-60.798,4/6/2005 21:43,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.467,-60.794,4/6/2005 22:08,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-62.458,-60.771,4/6/2005 23:23,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.994,-60.917,4/7/2005 20:02,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.994,-60.853,4/7/2005 20:26,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.974,-60.831,4/7/2005 21:21,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.945,-60.781,4/7/2005 22:07,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.932,-60.803,4/7/2005 23:00,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.903,-60.755,4/7/2005 23:46,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.902,-60.739,4/7/2005 23:47,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.881,-60.707,4/8/2005 0:39,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.852,-60.698,4/8/2005 1:26,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.857,-60.738,4/8/2005 1:27,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.846,-60.722,4/8/2005 1:35,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.488,-60.775,4/8/2005 20:15,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.478,-60.749,4/8/2005 20:15,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.46,-60.798,4/8/2005 20:56,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.442,-60.798,4/8/2005 21:19,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.418,-60.782,4/8/2005 21:56,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.415,-60.693,4/8/2005 22:32,AFS,CS,overwinter,SEAL,pup,2005,2.5
52541,-61.458,-60.703,4/8/2005 23:34,AFS,CS,overwinter,SEAL,pup,2005,2.5
