DepthBin,Date,Time,Latitude,Longitude,Year,gm2
10,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.05209784
20,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.143643409
30,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.044178671
40,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,19.66899265
50,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,32.25103188
60,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,10.69440349
70,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.209456532
80,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.012799852
90,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.016168574
100,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.00863387
110,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0
120,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.026959091
130,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.029925542
140,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.006523764
150,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0
160,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.010479302
170,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.047919718
180,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.053823886
190,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.072393141
200,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.057357726
210,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.023602104
220,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0.011901418
230,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0
240,1/13/2009,08:40:50,-62.74721292,-62.0342799,2009,0
10,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.096159148
20,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.035808261
30,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.024133475
40,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,79.46197773
50,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,37.05412075
60,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.441084149
70,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.035583652
80,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.204193004
90,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.037026408
100,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.423345743
110,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.484865809
120,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
130,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,1.304151821
140,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0.419063612
150,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
160,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
170,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,2.151866388
180,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,2.298796366
190,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
200,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,18.42281532
210,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
220,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
230,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
240,1/13/2009,08:59:10,-62.73596507,-62.06302678,2009,0
10,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.087655997
20,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
30,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,10.01906441
40,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,18.10749615
50,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,41.67392058
60,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.37482019
70,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.248948372
80,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.874677301
90,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,1.0856551
100,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,1.433109071
110,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
120,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
130,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
140,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,1.91964791
150,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.787137048
160,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0.771278474
170,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
180,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
190,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
200,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
210,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
220,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
230,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
240,1/13/2009,09:05:50,-62.72488174,-62.08355619,2009,0
10,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
20,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,5.105763999
30,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,5.596890112
40,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,23.9921741
50,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.314939159
60,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
70,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.663570807
80,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.15439305
90,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.578880857
100,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.305985576
110,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,2.03614728
120,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0
130,1/13/2009,09:12:30,-62.71241125,-62.10747673,2009,0.724478966
