"dataset_identifier","file_name","individual_id","keepornot","scientific_name","common_name","abbreviated_name","sex","age_class","device_id","device_type","deployment_site","deployment_year","deployment_month","deployment_day","deployment_time","deployment_decimal_longitude","deployment_decimal_latitude","data_contact","contact_email","comments"
"10.1594/PANGAEA.633712","DDU2005_emp_a_f_02","DDU2005_emp_a_f_02","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","F","Adult","60037","PTT","Pointe Geologie, Terre Adelie",2005,10,31,"15:00",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_m_04","DDU2005_emp_a_m_04","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","M","Adult","60039","PTT","Pointe Geologie, Terre Adelie",2005,11,1,"3:45",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_03","DDU2005_emp_a_x_03","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60038","PTT","Pointe Geologie, Terre Adelie",2005,11,1,"2:30",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_05","DDU2005_emp_a_x_05","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60046","PTT","Pointe Geologie, Terre Adelie",2005,11,1,"5:00",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_f_07","DDU2005_emp_a_f_07","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","F","Adult","60041","PTT","Pointe Geologie, Terre Adelie",2005,11,2,"3:45",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_06","DDU2005_emp_a_x_06","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60040","PTT","Pointe Geologie, Terre Adelie",2005,11,2,"2:00",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_08","DDU2005_emp_a_x_08","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60047","PTT","Pointe Geologie, Terre Adelie",2005,11,2,"4:45",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_m_10","DDU2005_emp_a_m_10","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","M","Adult","60048","PTT","Pointe Geologie, Terre Adelie",2005,11,4,"4:45",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_m_13","DDU2005_emp_a_m_13","Discard","Aptenodytes forsteri","Emperor penguin","EMPE","M","Adult","60042","PTT","Pointe Geologie, Terre Adelie",2005,11,5,"5:15",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_m_14","DDU2005_emp_a_m_14","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","M","Adult","60043","PTT","Pointe Geologie, Terre Adelie",2005,11,5,"5:35",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_m_15","DDU2005_emp_a_m_15","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","M","Adult","60044","PTT","Pointe Geologie, Terre Adelie",2005,11,6,"2:05",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_16","DDU2005_emp_a_x_16","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60045","PTT","Pointe Geologie, Terre Adelie",2005,11,6,"3:50",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
