UID,Name,Zone,Lon_ESRI_102020,Lat_ESRI_102020,Lon_EPSG_4326,Lat_EPSG_4326
0,SSIE,SPZ,-2670374.878,1717642.839,-57.25,-61.25
1,SSIE,SPZ,-2602224.248,1673806.881,-57.25,-62
2,SSIE,SPZ,-2619317.592,1542895.974,-59.5,-62.5
3,SSIE,SPZ,-2632681.993,1519979.657,-60,-62.5
4,SSIE,SPZ,-2686258.274,1535323.093,-60.25,-62
5,SSIE,SPZ,-2698444.768,1621389.194,-59,-61.5
6,JOIN,SPZ,-2518196.557,1604268.137,-57.5,-63
7,JOIN,SPZ,-2400154.268,1776020.733,-53.5,-63
8,JOIN,SPZ,-2312525.609,1711611.612,-53.49307344,-64.0022964
9,JOIN,SPZ,-2459833.599,1492663.67,-58.75,-64
10,JOIN,SPZ,-2492872.397,1542636.247,-58.25,-63.5
11,JOIN,SPZ,-2479315.606,1564331.648,-57.75,-63.5
12,JOIN,SPZ,-2472466.342,1575134.777,-57.5,-63.5
13,SLI,SPZ,-2704239.956,1391569.688,-62.77018884,-62.4878006
14,SLI,SPZ,-2640184.366,1411070.692,-61.87731674,-62.9278984
15,SLI,SPZ,-2560257.925,1391976.532,-61.46769118,-63.6601982
16,SLI,SPZ,-2579455.869,1274846.495,-63.7,-64
17,EI,GPZ,-2676988.189,1805651.333,-56,-60.75
18,EI,GPZ,-2661129.177,1828943.411,-55.5,-60.75
19,EI,GPZ,-2622135.547,1837422.579,-54.97971996,-61.00221264
20,EI,GPZ,-2606853.977,1859450.871,-54.5,-61
21,EI,GPZ,-2584890.349,1843784.367,-54.5,-61.25
22,EI,GPZ,-2594428.182,1783101.088,-55.5,-61.5
23,EI,GPZ,-2609889.689,1760392.823,-56,-61.5
24,SSIW,GPZ,-2632681.993,1519979.657,-60,-62.5
25,SSIW,GPZ,-2686258.274,1535323.093,-60.25,-62
26,SSIW,GPZ,-2704239.956,1391569.688,-62.77018884,-62.48780699
27,SSIW,GPZ,-2640184.366,1411070.692,-61.87731674,-62.927928
28,NWAP,GPZ,-2542005.49,1503337.856,-59.4,-63.3
29,NWAP,GPZ,-2579455.869,1274846.495,-63.7,-64.00000001
30,NWAP,GPZ,-2523871.084,1164677.812,-65.22833611,-64.89817904
31,NWAP,GPZ,-2453525.598,1025059.426,-67.32529651,-66.00502777
32,SWAP,GPZ,-2396274.98,872005.6137,-70.00352922,-67.00377236
33,SWAP,GPZ,-2399335.013,689232.343,-73.97277262,-67.49435662
34,SWAP,GPZ,-2269032.286,534524.4309,-76.74430009,-69.00277273
35,SWAP,GPZ,-1990619.764,209222.568,-84,-72
36,SWAP,GPZ,-1798562.705,189036.5577,-84,-73.75
37,SOI,GPZ,-2331472.301,2311214.629,-45.25,-60.25
38,SOI,GPZ,-2259803.822,2381336.76,-43.49999513,-60.24999727
39,SOI,GPZ,-2167006.14,2283548.001,-43.5,-61.5
40,SOI,GPZ,-2186851.089,2264550.595,-44,-61.5
41,SOI,GPZ,-2149313.918,2225679.716,-44,-62
42,SOI,GPZ,-2225679.716,2149313.918,-46,-62
43,SOI,GPZ,-2283968.879,2205603.108,-46,-61.25
44,SOI,GPZ,-2254902.753,2235310.378,-45.25,-61.25
45,SWAP,GPZ,-1766605.77,224740.6397,-82.75,-74
46,SWAP,GPZ,-1760117.374,270907.9746,-81.25,-74
47,SWAP,GPZ,-1726048.764,438360.5423,-75.75,-74
48,SWAP,GPZ,-1729448.167,528745.3666,-73,-73.75
49,SWAP,GPZ,-1725356.864,627978.5418,-70,-73.5
50,SWAP,GPZ,-1731016.57,690605.5847,-68.25,-73.25
51,SWAP,GPZ,-1744150.92,731383.1803,-67.25,-73
52,SWAP,GPZ,-1810300.779,787141.1811,-66.5,-72.25
53,SWAP,GPZ,-1835573.372,798130.0171,-66.5,-72
54,SWAP,GPZ,-1972790.567,827259.7412,-67.25,-70.75
55,SWAP,GPZ,-2030819.44,830830.1685,-67.75,-70.25
56,SWAP,GPZ,-2074151.803,869764.035,-67.25,-69.75
57,SWAP,GPZ,-2116913.269,909497.7161,-66.75,-69.25
58,SWAP,GPZ,-2188346.73,951520.2387,-66.5,-68.5
59,SWAP,GPZ,-2259352.138,994138.7336,-66.25,-67.75
60,SWAP,GPZ,-2345636.367,1068968.079,-65.5,-66.75
61,NWAP,GPZ,-2389021.029,1177363.892,-63.76487369,-65.96528245
62,NWAP,GPZ,-2404560.85,1198869.815,-63.5,-65.75
63,NWAP,GPZ,-2437096.778,1255187.32,-62.75,-65.25
64,NWAP,GPZ,-2444491.685,1299759.285,-62,-65
65,NWAP,GPZ,-2451120.865,1344730.955,-61.25,-64.75
66,NWAP,GPZ,-2463017.126,1379355.867,-60.75,-64.5
67,NWAP,GPZ,-2480628.88,1403472.293,-60.5,-64.25
68,NWAP,GPZ,-2491810.512,1438647.47,-60,-64
69,NWAP,GPZ,-2479161.223,1460337.563,-59.5,-64
70,SWAP,GPZ,-2389021.029,1177363.892,-63.76487369,-65.96528245
72,SWAP,GPZ,-2453525.598,1025059.426,-67.32529651,-66.00502777
